respondent_id,task_id,alternative_id,choice,brand,price,color,size
1,1,1,0,Brand_A,100,Red,Large
1,1,2,1,Brand_B,75,Blue,Medium
1,1,3,0,Brand_C,125,Green,Small
1,2,1,1,Brand_A,150,Blue,Small
1,2,2,0,Brand_B,100,Green,Large
1,2,3,0,Brand_C,75,Red,Medium
2,1,1,0,Brand_A,125,Green,Medium
2,1,2,0,Brand_B,150,Red,Small
2,1,3,1,Brand_C,100,Blue,Large
2,2,1,1,Brand_A,75,Blue,Large
2,2,2,0,Brand_B,125,Green,Medium
2,2,3,0,Brand_C,150,Red,Small
3,1,1,1,Brand_A,100,Red,Small
3,1,2,0,Brand_B,125,Blue,Large
3,1,3,0,Brand_C,75,Green,Medium
3,2,1,0,Brand_A,150,Green,Large
3,2,2,1,Brand_B,100,Red,Medium
3,2,3,0,Brand_C,125,Blue,Small
4,1,1,0,Brand_A,75,Blue,Medium
4,1,2,1,Brand_B,100,Green,Small
4,1,3,0,Brand_C,150,Red,Large
4,2,1,1,Brand_A,125,Red,Large
4,2,2,0,Brand_B,75,Blue,Small
4,2,3,0,Brand_C,100,Green,Medium
5,1,1,1,Brand_A,150,Green,Small
5,1,2,0,Brand_B,125,Red,Medium
5,1,3,0,Brand_C,100,Blue,Large
5,2,1,0,Brand_A,100,Blue,Medium
5,2,2,0,Brand_B,150,Green,Large
5,2,3,1,Brand_C,75,Red,Small
